Reference;Name;Category;Short description;Size;Color;Structure;Price/UAH;Price/RUB;Price/USD;URL;Images;
BZ-1613D;Блуза "Shelly" BZ-1613D;Блузки;Длина по спинке - 62 см;42,44,46,48,50,52;темно-синий;креп-шифон;172;500;8.48;https://niko-opt.com/bluzki/1967-bluza-shelly-bz-1613d.html;http://niko-opt.com/6946-large_default/bluza-shelly-bz-1613d.jpg,;
BZ-1613E;Блуза "Shelly" BZ-1613E;Блузки;Длина по спинке - 62 см;42,44,46,48,50,52;персик;креп-шифон;172;500;8.48;https://niko-opt.com/bluzki/1968-bluza-shelly-bz-1613e.html;http://niko-opt.com/6948-large_default/bluza-shelly-bz-1613e.jpg,;
BZ-1640A;Блуза "Verona" BZ-1640A;Блузки;;42-44,46-48,50-52;белый;креп-шифон;169;493;8.35;https://niko-opt.com/bluzki/2071-bluza-verona-bz-1640a.html;http://niko-opt.com/7247-large_default/bluza-verona-bz-1640a.jpg,;
BZ-1640B;Блуза "Verona" BZ-1640B;Блузки;;42-44,46-48,50-52;красный;креп-шифон;169;493;8.35;https://niko-opt.com/bluzki/2072-bluza-verona-bz-1640b.html;http://niko-opt.com/7249-large_default/bluza-verona-bz-1640b.jpg,http://niko-opt.com/7250-large_default/bluza-verona-bz-1640b.jpg;
BZ-1640C;Блуза "Verona" BZ-1640C;Блузки;;42-44,46-48,50-52;темно-синий;креп-шифон;169;493;8.35;https://niko-opt.com/bluzki/2073-bluza-verona-bz-1640c.html;http://niko-opt.com/7252-large_default/bluza-verona-bz-1640c.jpg,;
BZ-1467A;Блуза "Туфелька" BZ-1467A;Блузки;Длина по спинке: 60 смДлина рукава: 60 см;42,44,46,48;молоко;софт Ниагара;269;743;12.7;https://niko-opt.com/bluzki/1435-bluza-tufelka-bz-1467a.html;http://niko-opt.com/5297-large_default/bluza-tufelka-bz-1467a.jpg,;
BZ-1467B;Блуза "Туфелька" BZ-1467B;Блузки;Длина по спинке: 60 смДлина рукава: 60 см;42,44,46,48;ментол;софт Ниагара;269;743;12.7;https://niko-opt.com/bluzki/1434-bluza-tufelka-bz-1467b.html;http://niko-opt.com/5293-large_default/bluza-tufelka-bz-1467b.jpg,http://niko-opt.com/5294-large_default/bluza-tufelka-bz-1467b.jpg;
BZ-1467C;Блуза "Туфелька" BZ-1467C;Блузки;Длина по спинке: 60 смДлина рукава: 60 см;42,44;пудра;софт Ниагара;269;743;12.7;https://niko-opt.com/bluzki/1436-bluza-tufelka-bz-1467c.html;http://niko-opt.com/5299-large_default/bluza-tufelka-bz-1467c.jpg,http://niko-opt.com/5300-large_default/bluza-tufelka-bz-1467c.jpg;
SHT-1593A;Брюки "Gabriel" SHT-1593A;Брюки, Штаны;Длина брюк по боковому шву - 110 смПо полке гульфик с молниейШлевка - 97 смМодель утепленная на флисе;42,44,46;коричневый;джерси на флисе;352;950;16.3;https://niko-opt.com/bryuki-shtany/1878-bryuki-gabriel-sht-1593a.html;http://niko-opt.com/6637-large_default/bryuki-gabriel-sht-1593a.jpg,http://niko-opt.com/6638-large_default/bryuki-gabriel-sht-1593a.jpg,http://niko-opt.com/6639-large_default/bryuki-gabriel-sht-1593a.jpg;
SHT-1513A;Брюки "Ninel" SHT-1513A;Брюки, Штаны;Длина брюк - 103 см;42,44,46,48;темно-синий;лен габардин;210;595;10.13;https://niko-opt.com/bryuki-shtany/1596-bryuki-ninel-sht-1513a.html;http://niko-opt.com/5663-large_default/bryuki-ninel-sht-1513a.jpg,;
SHT-1513B;Брюки "Ninel" SHT-1513B;Брюки, Штаны;Длина брюк: 103 см.;42,44,46,48;светлый джинс;лен габардин;210;595;10.13;https://niko-opt.com/bryuki-shtany/2061-bryuki-ninel-sht-1513b.html;http://niko-opt.com/7219-large_default/bryuki-ninel-sht-1513b.jpg,;
SHT-1513C;Брюки "Ninel" SHT-1513C;Брюки, Штаны;Длина брюк: 103 см.;42,44,46,48;серо-коричневый;лен габардин;210;595;10.13;https://niko-opt.com/bryuki-shtany/2060-bryuki-ninel-sht-1513c.html;http://niko-opt.com/7218-large_default/bryuki-ninel-sht-1513c.jpg,;
SKR0001;Вязанный костюм "RUBY" SKR0001;Костюмы вязаные;Рост модели -170смДлина свитера по спинке: 60 смШирина плеч: 43 смДлина рукава: 51 смДлина штанов по внешнему шву: 101 смДлина по внутреннему шву : 75 см;42-46;пудра;;575;1508;26;https://niko-opt.com/kostyumy-vyazanye/1690-vyazannyj-kostyum-ruby-skr0001.html;http://niko-opt.com/5901-large_default/vyazannyj-kostyum-ruby-skr0001.jpg,;
